Source,Commissioning Group,Name of Power Plant,State,District,Commissioning Date,Capacity (MW),Implementing Agency
Coal,operational,Akaltara TPS,Chhattisgarh,Janjgir-Champa,2018-01-01,600,Wardha Power Co. Ltd.
Coal,operational,Akaltara TPS,Chhattisgarh,Janjgir-Champa,2013-08-13,600,Wardha Power Co. Ltd.
Coal,operational,Akaltara TPS,Chhattisgarh,Janjgir-Champa,2014-08-22,600,Wardha Power Co. Ltd.
Coal,pipeline,Akaltara TPS,Chhattisgarh,Janjgir-Champa,Uncertain,600,Wardha Power Co. Ltd.
Coal,pipeline,Akaltara TPS,Chhattisgarh,Janjgir-Champa,Uncertain,600,Wardha Power Co. Ltd.
Coal,pipeline,Akaltara TPS,Chhattisgarh,Janjgir-Champa,Uncertain,600,Wardha Power Co. Ltd.
Coal,operational,Akrimota TPS,Gujarat,Kachchh,2005-03-01,125,Gujarat Mineral Development Corp. Ltd.
Coal,operational,Akrimota TPS,Gujarat,Kachchh,2005-12-01,125,Gujarat Mineral Development Corp. Ltd.
Coal,operational,Amaravati TPS,Maharashtra,Amravati,2013-03-25,270,Rattanindia Power Limited
Coal,operational,Amaravati TPS,Maharashtra,Amravati,2014-02-17,270,Rattanindia Power Limited
Coal,operational,Amaravati TPS,Maharashtra,Amravati,2015-01-29,270,Rattanindia Power Limited
Coal,operational,Amaravati TPS,Maharashtra,Amravati,2015-03-04,270,Rattanindia Power Limited
Coal,operational,Amaravati TPS,Maharashtra,Amravati,2015-03-12,270,Rattanindia Power Limited
Coal,pipeline,Amaravati TPS,Maharashtra,Amravati,Uncertain,270,Indiabulls Realtech Ltd.
Coal,pipeline,Amaravati TPS,Maharashtra,Amravati,Uncertain,270,Indiabulls Realtech Ltd.
Coal,pipeline,Amaravati TPS,Maharashtra,Amravati,Uncertain,270,Indiabulls Realtech Ltd.
Coal,pipeline,Amaravati TPS,Maharashtra,Amravati,Uncertain,270,Indiabulls Realtech Ltd.
Coal,pipeline,Amaravati TPS,Maharashtra,Amravati,Uncertain,270,Indiabulls Realtech Ltd.
Coal,operational,Amarkantak TPS,Madhya Pradesh,Anuppur,2008-06-01,210,M.P. Power Generating Corp. Ltd.
Coal,retired,Amarkantak TPS,Madhya Pradesh,Anuppur,1977-09-01,120,M.P. Power Generating Corp. Ltd.
Coal,retired,Amarkantak TPS,Madhya Pradesh,Anuppur,1978-03-01,120,M.P. Power Generating Corp. Ltd.
Coal,retired,Amarkantak TPS,Madhya Pradesh,Anuppur,1976-01-01,30,M.P. Power Generating Corp. Ltd.
Coal,retired,Amarkantak TPS,Madhya Pradesh,Anuppur,1976-01-01,30,M.P. Power Generating Corp. Ltd.
Coal,operational,Anpara C TPS or Lanco Anapara,Uttar Pradesh,Sonbhadra,2011-11-01,600,Lanco Anpara Power Private Ltd.
Coal,operational,Anpara C TPS or Lanco Anapara,Uttar Pradesh,Sonbhadra,2011-11-01,600,Lanco Anpara Power Private Ltd.
Coal,operational,Anpara TPS,Uttar Pradesh,Sonbhadra,1986-01-01,210,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (UPRVUNL)
Coal,operational,Anpara TPS,Uttar Pradesh,Sonbhadra,1987-01-01,210,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (UPRVUNL)
Coal,operational,Anpara TPS,Uttar Pradesh,Sonbhadra,1988-04-01,210,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (UPRVUNL)
Coal,operational,Anpara TPS,Uttar Pradesh,Sonbhadra,1993-01-01,500,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (UPRVUNL)
Coal,operational,Anpara TPS,Uttar Pradesh,Sonbhadra,1994-10-01,500,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (UPRVUNL)
Coal,operational,Anpara TPS,Uttar Pradesh,Sonbhadra,2015-06-08,500,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (UPRVUNL)
Coal,operational,Anpara TPS,Uttar Pradesh,Sonbhadra,2016-03-06,500,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (UPRVUNL)
Coal,operational,Anuppur TPP,Madhya Pradesh,Anuppur,2015-04-01,625,MB Power (Madhya Pradesh) Ltd. (MBPMPL)
Coal,operational,Anuppur TPP,Madhya Pradesh,Anuppur,2016-03-30,625,MB Power (Madhya Pradesh) Ltd. (MBPMPL)
Coal,operational,Avantha Bhandar TPS,Chhattisgarh,Korba,2014-03-31,600,Korba West Power Company Limited (KWPCL) (Adani Power)
Coal,retired,BANDEL TPS,West Bengal,Hooghly,1950-03-31,90,West Bengal Power Development Corp. Ltd.
Coal,retired,Badarpur TPS,Delhi,South Delhi,1973-07-01,95,NTPC Ltd.
Coal,retired,Badarpur TPS,Delhi,South Delhi,1974-08-01,95,NTPC Ltd.
Coal,retired,Badarpur TPS,Delhi,South Delhi,1975-03-01,95,NTPC Ltd.
Coal,retired,Badarpur TPS,Delhi,South Delhi,1978-12-01,210,NTPC Ltd.
Coal,retired,Badarpur TPS,Delhi,South Delhi,1981-12-01,210,NTPC Ltd.
Coal,operational,Bakreshwar TPS,West Bengal,Birbhum,1999-07-01,210,West Bengal Power Development Corp. Ltd.
Coal,operational,Bakreshwar TPS,West Bengal,Birbhum,2000-05-01,210,West Bengal Power Development Corp. Ltd.
